source_id,kaynak_adi,arsiv_icerik_tarihi,bizim_cekme_tarihimiz,yas_gun,arsiv_indeksi,tazelik_uyarisi,guncel_veri_mi
source-0410,WIPO Global Brand Database,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0428,DailyMed,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0468,Redfin,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0487,Expedia,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0519,Epic Games Store,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0628,Yıldız Teknopark,2025-02-15,2026-09-03,587,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-15 tarihli, 587 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0007,Yandex,2025-02-16,2026-09-03,586,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-16 tarihli, 586 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0167,Hepsiburada,2025-02-16,2026-09-03,586,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-16 tarihli, 586 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0292,FlexJobs,2025-02-16,2026-09-03,586,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-16 tarihli, 586 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0306,Yandex Maps,2025-02-16,2026-09-03,586,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-16 tarihli, 586 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
