kategori,bulgu_turu,document_id,source_id,source_adi,url_yolu,mevcut_etiket,kanit,onerilen_duzeltme,gerekce
gelistirici-araci,eksik-provenance,doc-87fa637d100d,source-0023,Stack Overflow,/2.3/questions,api-yaniti,dosya yok: results/raw/5b7d4bc2a271c07bb246b3695404393ce377eca18133ae2087004b402d2f8800.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gelistirici-araci,eksik-provenance,doc-a9cf0aeea1d2,source-0050,JetBrains Marketplace,/plugin/1-colourchooser/reviews,belirsiz,dosya yok: results/raw/a6891776387973c743bb90b732bc9e553dd1bb1c633777167f3fd36f0bc0812c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
gelistirici-araci,eksik-provenance,doc-d4710c307dbe,source-0020,SourceForge,/software/vendors/pricing/,fiyatlandirma-sayfasi,dosya yok: results/raw/be8e88607a0f85b2c5a5f279c14075523708aa83ec36475779d57d06d2a9b753.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-18548d4df59a,source-0099,Samsung Galaxy Store,/sitemap.xml,sitemap,dosya yok: results/raw/7d80bd591d2ab13c8e53c1085bdb0d114ab12e4305cf5577cd14297205d577e1.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-1927293d4418,source-0108,Uptodown,/,ana-sayfa,dosya yok: results/raw/5dbba34d23c5a9361b94b27fdf3ea16d3f7951158998d80b330696599d74d525.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-2a56addd0f19,source-0099,Samsung Galaxy Store,/sitemap_Apps_2.xml,sitemap,dosya yok: results/raw/fc952e75bbf35d85b99d4ec0bb30f3a0582a208e29a077a86ff834a309752af3.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-34a931d5be96,source-0097,Google Play Store,/store/games,belirsiz,dosya yok: results/raw/ca8bf73f1108772f08664990183cbeced6639e24bfdaccfde4004ceaec2585de.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-472e7ca8abfe,source-0105,Aptoide,/sitemap-app-1.xml,sitemap,dosya yok: results/raw/379b096b39ab0f03591bb1ce0dd50c8a5646b8eb1c61a8f69c831ef7cf0405e0.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-4c2595ad7094,source-0108,Uptodown,/marketplace,liste-sayfasi,dosya yok: results/raw/011864307ec11c44b42d1b10c78738c465589571fda96cb51123c3006766d47a.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-854d42ea70cb,source-0105,Aptoide,/sitemap-app-3.xml,sitemap,dosya yok: results/raw/83f783ff15c92e7ffe512d0151f9366f41efa529172f1e9d5a5cdeb943e16bff.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-a8ddf44b3ca7,source-0096,Apple App Store,/us/iphone/today,belirsiz,dosya yok: results/raw/d85a2b24a511a5fe892dcd4dd586adb71dc504b54592edbed72b38d6098a7399.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-c1bd45216866,source-0105,Aptoide,/sitemap-app-2.xml,sitemap,dosya yok: results/raw/36743699acf1e84b5010ee1a8ca6d7f137af1587d3d967844eddab905053f1a6.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-dbded79a5a82,source-0108,Uptodown,/,ana-sayfa,dosya yok: results/raw/01e1da72cb8adfb6bfe2d3d221626f5b13c3f0ae9559187474b79e6786836f8e.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
mobil-uygulama,eksik-provenance,doc-e80fd2f268b7,source-0101,Microsoft Store,/sitemap,sitemap,dosya yok: results/raw/7240696f8817597a736576b919bbe42e18c95d0316b364a373ac5aff54a80347.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-00322532292c,source-0597,Wynter,/compare,karsilastirma-sayfasi,dosya yok: results/raw/92593e8b568ba60d3251c3308467c707779f5e7bed068d77f2b43364002c72c8.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-1698fdbf0e1d,source-0219,Moz,/sitemaps-1-sitemap.xml,sitemap,dosya yok: results/raw/5e42daced95d836705f5809d590ffce1ad657f52bdef76b60362956d41adfe61.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-2b9904d1ec38,source-0228,AnswerThePublic,/en,ana-sayfa,dosya yok: results/raw/c1d7c808f8fdcad352b6924d234bedc98efe447aafea8a3fc57fcb6338604d97.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-3bbe500c08a6,source-0228,AnswerThePublic,/sitemap.xml,sitemap,dosya yok: results/raw/bcab64691b4cd37742a66a12551ae002c8baef711a5e5e1794952c3a5889a362.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-51d8ac863e32,source-0012,SerpAPI,/,ana-sayfa,dosya yok: results/raw/4add3420390c4bc94fdbdae9f2c842d42f3f3ba3dadb0e7bed99051bc02a68df.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-720774ce889d,source-0247,AppMagic,/sitemap-blog.xml,sitemap,dosya yok: results/raw/8f770580e52f3259abeca522298585af4edd7620924a8016608c9faa0afca43c.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-89a9c86aefd0,source-0602,Sprig,/compare,karsilastirma-sayfasi,dosya yok: results/raw/6622723f9176c2d1057232feab38b1ea4d8d6a03824634e9c228bd8e8e04f4c0.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-9dc7a2b23f0c,source-0249,BigSpy,/en,ana-sayfa,dosya yok: results/raw/df623633b5a7710f46ff9f70e52cb0f8cb518835a0c8135542bf14399b628d01.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-b060473a39cd,source-0223,SpyFu,/robots.txt,politika-dosyasi,dosya yok: results/raw/0225c1aaf63811de1d529d862ac5264ed60aa7893aa8e6d4fafcc40cb82a1092.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-c6b39317cae3,source-0602,Sprig,/pricing,fiyatlandirma-sayfasi,dosya yok: results/raw/eefc2d2851f363bbd7990688095b02357426c302712a3244f98b42fb300467b5.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-d5ac68cc8270,source-0335,bioRxiv,/sitemap.xml,sitemap,dosya yok: results/raw/802ca8e786dd1be0f65c98bb90ffbec9353fa18288765a76c3433cb14f5b4b80.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
ortak,eksik-provenance,doc-e7a5bb700910,source-0208,Netcraft,/,ana-sayfa,dosya yok: results/raw/fd9b1e5195af70fd018f7288645ea82c2b8c774756f16ff9ca0c19389e358ab3.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-008646c22fbb,source-0532,OpenCritic,/sitemap_games_1.xml,sitemap,dosya yok: results/raw/c281bfbef20458ba69fe747b942e754d6c5a148e78f19f0831828a917201fd4e.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-1614a303387c,source-0521,itch.io,/app,liste-sayfasi,dosya yok: results/raw/2e0817b328870a94253d9ebf3ae619f58fb10cdcbdb6a678ee3d7c53b7fa12fd.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
oyun,eksik-provenance,doc-38f4f0215565,source-0524,Nintendo eShop,/au/sitemap/0.xml,sitemap,dosya yok: results/raw/e1aa31622f144fdfd0b297e028c25eeadfc5836d00db448dafe73f0fbdbf4772.bin,kaydı işlenemeyene taşı,Dizin dosyayı gösteriyor ama bu checkout'ta yok.
